City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,nuku'alofa,-21.1333,-175.2,22.24,59,11,9.55,TO,1722305563
215,konarka,19.9,86.1167,27.22,77,95,2.46,IN,1722305564
216,newman,37.3138,-121.0208,31.27,43,0,2.68,US,1722305566
217,nova sintra,14.8667,-24.7167,24.87,76,5,8.22,CV,1722305567
218,saipan,15.1355,145.701,32.39,70,20,5.14,MP,1722305568
219,lompoc,34.6391,-120.4579,16.58,84,100,4.63,US,1722305570
220,nirmali,26.3167,86.5833,30.91,73,2,5.33,IN,1722305571
221,colesberg,-30.72,25.0972,0.97,47,0,1.13,ZA,1722305572
222,yellowknife,62.456,-114.3525,20.29,49,75,2.57,CA,1722305573
223,soteapan,18.2333,-94.8667,25.24,95,98,2.74,MX,1722305575
224,alice springs,-23.7,133.8833,12.75,30,0,5.66,AU,1722305576
225,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1722305577
226,nemuro,43.3236,145.575,14.64,97,100,12.96,JP,1722305579
227,barreirinhas,-2.7469,-42.8264,24.66,89,49,3.49,BR,1722305580
228,ngaoundere,7.3167,13.5833,17.77,96,100,0.97,CM,1722305581
229,bima,-8.4667,118.7167,32.06,55,77,1.06,ID,1722305583
230,deschutes river woods,43.9915,-121.3584,20.24,55,100,1.79,US,1722305584
231,pacific grove,36.6177,-121.9166,21.8,80,100,3.09,US,1722305442
232,port alfred,-33.5906,26.891,12.37,56,10,7.8,ZA,1722305587
233,arraial do cabo,-22.9661,-42.0278,21.69,89,48,9.08,BR,1722305588
234,katabu,-4.9333,122.5167,29.42,61,15,5.1,ID,1722305589
235,puerto deseado,-47.7503,-65.8938,3.0,66,20,6.75,AR,1722305591
236,ihosy,-22.4,46.1167,12.08,68,0,1.48,MG,1722305592
237,enriquillo,17.9,-71.2333,25.57,85,99,4.59,DO,1722305593
238,nelson bay,-32.7167,152.15,15.0,79,88,10.97,AU,1722305437
239,kiruna,67.8557,20.2251,9.51,100,100,2.06,SE,1722305597
240,melendugno,40.2747,18.3368,28.05,89,0,7.72,IT,1722305598
241,hilo,19.7297,-155.09,27.83,74,75,3.6,US,1722305599
242,ingeniero guillermo n. juarez,-23.9,-61.85,14.16,51,100,2.53,AR,1722305601
243,vila franca do campo,37.7167,-25.4333,22.23,92,16,0.98,PT,1722305602
244,prado,-17.3411,-39.2208,24.05,84,10,5.85,BR,1722305603
245,hami,42.8,93.45,36.19,15,0,2.3,CN,1722305605
246,tura,25.5198,90.2201,25.57,95,99,2.89,IN,1722305606
247,limulunga,-15.0969,23.1376,12.78,23,0,2.02,ZM,1722305607
248,zahedan,29.4963,60.8629,28.95,28,100,3.09,IR,1722305609
249,sarupathar,26.1984,93.8094,26.9,94,98,1.68,IN,1722305610
250,namibe,-15.1961,12.1522,17.19,86,86,1.6,AO,1722305611
251,gadzhiyevo,69.2551,33.3362,9.6,95,100,6.41,RU,1722305613
252,taltal,-25.4,-70.4833,14.23,80,64,1.84,CL,1722305614
253,balaklava,44.5,33.6,22.43,45,0,7.29,UA,1722305615
254,kingscliff,-28.2667,153.5667,18.3,48,40,7.72,AU,1722305617
255,vernon,50.2581,-119.2691,22.39,71,100,0.89,CA,1722305618
256,kourou,5.1552,-52.6478,26.03,92,38,2.88,GF,1722305621
257,san pedro pochutla,15.7333,-96.4667,25.95,90,100,0.89,MX,1722305622
258,beloyarskiy,63.7119,66.6722,17.19,85,10,2.05,RU,1722305624
259,guerrero negro,27.9769,-114.0611,20.25,80,61,7.79,MX,1722305625
260,maturin,9.75,-63.1767,23.91,100,100,1.54,VE,1722305627
261,sultanah,24.4926,39.5857,33.25,19,0,4.12,SA,1722305628
262,argostolion,38.1811,20.489,28.19,27,0,1.2,GR,1722305630
263,eureka,40.8021,-124.1637,22.33,82,71,0.89,US,1722305543
264,mount pearl,47.5166,-52.7813,21.36,90,18,2.68,CA,1722305382
265,fuglafjordur,62.244,-6.814,10.26,87,14,5.09,FO,1722305634
266,walvis bay,-22.9575,14.5053,8.38,100,5,3.6,NA,1722305635
267,patiali,27.7167,79.0167,33.22,56,41,3.75,IN,1722305636
268,port macquarie,-31.4333,152.9167,16.05,65,11,1.79,AU,1722305405
269,puerto baquerizo moreno,-0.9,-89.6,20.02,89,100,6.02,EC,1722305639
270,carutapera,-1.195,-46.02,24.99,85,10,3.25,BR,1722305640
271,sarmiento,-45.5882,-69.07,3.51,49,60,2.32,AR,1722305642
272,umluj,25.0213,37.2685,29.66,67,7,0.49,SA,1722305644
273,isafjordur,66.0755,-23.124,8.25,91,100,2.67,IS,1722305645
274,port elizabeth,-33.918,25.5701,13.16,76,0,7.72,ZA,1722305647
275,ivins,37.1686,-113.6794,36.62,6,0,2.24,US,1722305648
276,funafuti,-8.5243,179.1942,30.0,70,40,8.23,TV,1722305649
277,notodden,59.5594,9.2585,13.07,89,0,0.48,NO,1722305651
278,alofi,-19.0595,-169.9187,23.94,50,75,9.77,NU,1722305652
279,minas de marcona,-15.2119,-75.1103,12.39,77,4,1.7,PE,1722305653
280,margaret river,-33.95,115.0667,16.06,72,12,3.28,AU,1722305655
281,trondheim,63.4305,10.3951,11.11,94,0,2.06,NO,1722305656
282,afaahiti,-17.75,-149.2833,21.93,80,84,9.1,PF,1722305657
283,xining,36.6167,101.7667,18.14,47,2,1.47,CN,1722305658
284,antonio enes,-16.2325,39.9086,20.86,71,0,2.03,MZ,1722305660
285,bubaque,11.2833,-15.8333,26.56,84,93,4.08,GW,1722305661
286,sao jose da coroa grande,-8.8978,-35.1478,23.91,84,8,3.15,BR,1722305663
287,ipilan,8.8431,117.9033,30.05,68,100,2.0,PH,1722305664
288,cabo san lucas,22.8909,-109.9124,32.61,48,0,5.14,MX,1722305502
289,padang,-0.9492,100.3543,31.03,67,0,1.18,ID,1722305667
290,kattivakkam,13.2167,80.3167,31.09,78,100,5.79,IN,1722305668
291,chinde,26.8212,87.7095,27.97,81,30,1.19,NP,1722305669
292,undurkhaan,47.3194,110.6556,24.77,55,62,0.39,MN,1722305670
293,tyukhtet,56.5389,89.3011,20.73,78,40,1.86,RU,1722305672
294,nadym,65.5333,72.5167,18.83,85,100,2.51,RU,1722305673
295,orda,57.1951,56.9091,13.52,94,60,1.74,RU,1722305674
296,queenstown,-31.8976,26.8753,2.89,41,0,2.74,ZA,1722305675
297,paracuru,-3.41,-39.0306,26.73,84,58,4.35,BR,1722305678
298,pont rouge,48.8833,-72.0825,23.16,70,100,1.49,CA,1722305680
299,villamontes,-21.25,-63.5,11.97,51,100,0.81,BO,1722305681
300,crane,31.3974,-102.3501,31.9,39,0,7.44,US,1722305682
301,salinopolis,-0.6136,-47.3561,26.53,79,8,4.87,BR,1722305684
302,erenhot,43.6475,111.9767,21.98,63,100,4.52,CN,1722305685
303,qacha's nek,-30.1154,28.6894,-1.03,29,0,2.91,LS,1722305686
304,kyelang,32.5833,77.0333,13.06,73,100,1.21,IN,1722305687
305,kirakira,-10.4544,161.9205,29.25,63,93,7.02,SB,1722305689
306,laguna,38.421,-121.4238,31.97,43,0,5.14,US,1722305690
307,tamanrasset,22.785,5.5228,23.95,73,40,1.03,DZ,1722305691
308,bardai,11.65,7.2333,21.0,94,100,3.15,NG,1722305693
309,saint-arnoult-en-yvelines,48.5667,1.9333,21.81,80,38,1.68,FR,1722305694
310,new norfolk,-42.7826,147.0587,10.95,53,99,0.61,AU,1722305695
311,weno,7.4515,151.8468,31.97,74,75,4.12,FM,1722305697
312,mount gambier,-37.8333,140.7667,12.17,52,100,2.69,AU,1722305698
313,baturaja,-4.1333,104.1667,28.39,61,36,1.8,ID,1722305699
314,la quiaca,-22.1024,-65.593,2.64,97,5,2.4,AR,1722305700
315,port lincoln,-34.7333,135.8667,13.55,44,72,6.38,AU,1722305702
316,sirur,18.8333,74.3833,23.52,91,100,4.72,IN,1722305703
317,ceeldheer,3.8488,47.1806,23.61,86,50,7.64,SO,1722305704
318,san sebastian de la gomera,28.0916,-17.1133,22.99,88,0,3.09,ES,1722305706
319,sandnessjoen,66.0217,12.6316,7.29,73,75,2.67,NO,1722305707
320,olyokminsk,60.3736,120.4264,19.54,54,65,4.04,RU,1722305708
321,benito juarez,19.385,-99.165,16.9,82,100,2.06,MX,1722305710
322,la concepcion de los banos,19.6819,-99.8569,12.31,92,82,2.04,MX,1722305711
323,lorengau,-2.0226,147.2712,27.83,81,98,5.0,PG,1722305714
324,shimoda,34.6667,138.95,33.2,61,44,2.49,JP,1722305715
325,kushiro,42.975,144.3747,24.53,69,75,7.2,JP,1722305716
326,tocopilla,-22.092,-70.1979,16.95,75,0,1.51,CL,1722305717
327,raja,8.4596,25.678,21.72,83,100,2.1,SS,1722305719
